sessions,classical_load,repetition,core_initialization_seconds,participant_startup_seconds,federation_seconds,participant_finish_seconds,simulation_seconds,offline_validation_seconds,simulation_seconds_per_transaction,federation_seconds_per_transaction,background_packets,classical_trace_rows,completed_transactions,distinct_boundary_timestamps,final_federation_ns,final_transaction_ns,ipc_rx_bytes,ipc_rx_lines,ipc_tx_bytes,ipc_tx_lines,synchronization_rounds
16,0.7,9,0.030928970998502336,0.041043662997253705,0.5710426720033865,0.003673278995847795,0.6466885849949904,0.032053761002316605,0.0404180365621869,0.03569016700021166,35,517,16,179,42090586,27325600,42305,765,5236,295,211
1,0.7,7,0.004265712996129878,0.03909562199987704,0.03892988100415096,0.003624013996159192,0.08591522999631707,0.0018535030030761845,0.08591522999631707,0.03892988100415096,4,45,1,18,5599153,3832867,3615,72,490,29,20
64,0.0,7,0.15943244400114054,0.05425766699772794,1.7736997940010042,0.008564821000618394,1.995954726000491,0.07450344799872255,0.031186792593757673,0.02771405928126569,0,1088,64,290,104125600,104125600,89202,1639,13954,742,418
1,0.0,2,0.0035159019971615635,0.031896933003736194,0.020127105999563355,0.003622486001404468,0.05916242700186558,0.0012027799966745079,0.05916242700186558,0.020127105999563355,0,17,1,6,3388000,3388000,1367,32,295,17,8
4,0.7,8,0.007769285002723336,0.033450680995883886,0.1700485600013053,0.003523393999785185,0.2147919199996977,0.0035209310008212924,0.05369797999992443,0.042512140000326326,10,138,4,50,12662011,8479039,11027,209,1401,82,58
64,0.7,4,0.07012588599900482,0.0263795430000755,1.2128867020001053,0.0036986760023864917,1.313090807001572,0.08464784699754091,0.020517043859399564,0.018951354718751645,133,2019,64,689,157450600,104125600,169666,2969,20883,1141,817
1,0.7,9,0.0022043099961592816,0.023906406000605784,0.023824201001843903,0.0036482060022535734,0.05358312300086254,0.0011364409947418608,0.05358312300086254,0.023824201001843903,4,45,1,18,5599153,3832867,3615,72,490,29,20
8,0.7,5,0.009888369000691455,0.02689589800138492,0.15179036799963797,0.0036111090012127534,0.1921857440029271,0.007533384996349923,0.024023218000365887,0.018973795999954746,19,269,8,95,23256298,14525600,21761,401,2698,155,111
8,0.7,8,0.011328583001159132,0.024945443001342937,0.15153524500055937,0.0035351669939700514,0.1913444379970315,0.007950455001264345,0.023918054749628936,0.01894190562506992,19,269,8,95,23256298,14525600,21761,401,2698,155,111
16,0.0,5,0.02116856700013159,0.0251044480028213,0.19606962699617725,0.0035982859990326688,0.2459409279981628,0.011568398003873881,0.015371307999885175,0.012254351687261078,0,272,16,74,27325600,27325600,21818,415,3469,190,106
8,0.0,3,0.010063211993838195,0.027946176000114065,0.1977645310034859,0.003544546001648996,0.23931846499908715,0.005494730998179875,0.029914808124885894,0.024720566375435737,0,136,8,38,14525600,14525600,10688,211,1746,98,54
32,0.0,5,0.1901891639936366,0.05036359999940032,0.40748493900173344,0.0035758970043389127,0.6516135999991093,0.026562498998828232,0.020362924999972165,0.01273390434380417,0,544,32,146,52925600,52925600,44179,823,6936,374,210
1,0.7,1,0.0023459920048480853,0.024881817000277806,0.026532650001172442,0.003508107998641208,0.05726856700493954,0.0013622959959320724,0.05726856700493954,0.026532650001172442,4,45,1,18,5599153,3832867,3615,72,490,29,20
